Level5,Type1_Level5,Type1_Level4,Type1_Level3,Type1_Level2,Type1_Level1,Type2_Level5,Type2_Level4,Type2_Level3,Type2_Level2,Type2_Level1,ROI
1,1,1,1,1,1,1,1,1,1,1,SFG_L
2,2,2,2,2,2,2,2,2,2,2,SFG_R
3,3,1,1,1,1,3,1,1,1,1,SFG_PFC_L
4,4,2,2,2,2,4,2,2,2,2,SFG_PFC_R
5,5,1,1,1,1,5,1,1,1,1,SFG_pole_L
6,6,2,2,2,2,6,2,2,2,2,SFG_pole_R
7,7,3,1,1,1,7,1,1,1,1,MFG_L
8,8,4,2,2,2,8,2,2,2,2,MFG_R
9,9,3,1,1,1,9,1,1,1,1,MFG_DPFC_L
10,10,4,2,2,2,10,2,2,2,2,MFG_DPFC_R
11,11,5,1,1,1,11,1,1,1,1,IFG_opercularis_L
12,12,6,2,2,2,12,2,2,2,2,IFG_opercularis_R
13,13,5,1,1,1,13,1,1,1,1,IFG_orbitalis_L
14,14,6,2,2,2,14,2,2,2,2,IFG_orbitalis_R
15,15,5,1,1,1,15,1,1,1,1,IFG_triangularis_L
16,16,6,2,2,2,16,2,2,2,2,IFG_triangularis_R
17,17,7,1,1,1,17,1,1,1,1,LFOG_L
18,18,8,2,2,2,18,2,2,2,2,LFOG_R
19,19,7,1,1,1,19,1,1,1,1,MFOG_L
20,20,8,2,2,2,20,2,2,2,2,MFOG_R
21,21,9,1,1,1,21,1,1,1,1,RG_L
22,22,10,2,2,2,22,2,2,2,2,RG_R
23,23,11,3,1,1,23,3,3,1,1,PoCG_L
24,24,12,4,2,2,24,4,4,2,2,PoCG_R
25,25,13,1,1,1,25,1,1,1,1,PrCG_L
26,26,14,2,2,2,26,2,2,2,2,PrCG_R
27,27,15,3,1,1,27,3,3,1,1,SPG_L
28,28,16,4,2,2,28,4,4,2,2,SPG_R
29,29,17,3,1,1,29,3,3,1,1,SMG_L
30,30,18,4,2,2,30,4,4,2,2,SMG_R
31,31,19,3,1,1,31,3,3,1,1,AG_L
32,32,20,4,2,2,32,4,4,2,2,AG_R
33,33,21,3,1,1,33,3,3,1,1,PrCu_L
34,34,22,4,2,2,34,4,4,2,2,PrCu_R
35,35,23,5,1,1,35,5,5,1,1,STG_L
36,36,24,6,2,2,36,6,6,2,2,STG_R
37,37,23,5,1,1,37,5,5,1,1,STG_pole_L
38,38,24,6,2,2,38,6,6,2,2,STG_pole_R
39,39,25,5,1,1,39,5,5,1,1,MTG_L
40,40,26,6,2,2,40,6,6,2,2,MTG_R
41,41,25,5,1,1,41,5,5,1,1,MTG_pole_L
42,42,26,6,2,2,42,6,6,2,2,MTG_pole_R
43,43,27,5,1,1,43,5,5,1,1,ITG_L
44,44,28,6,2,2,44,6,6,2,2,ITG_R
45,45,29,7,1,1,45,7,7,1,1,PHG_L
46,46,30,8,2,2,46,8,8,2,2,PHG_R
47,47,29,7,1,1,47,7,7,1,1,ENT_L
48,48,30,8,2,2,48,8,8,2,2,ENT_R
49,49,31,5,1,1,49,5,5,1,1,FuG_L
50,50,32,6,2,2,50,6,6,2,2,FuG_R
51,51,33,9,1,1,51,9,9,1,1,SOG_L
52,52,34,10,2,2,52,10,10,2,2,SOG_R
53,53,35,9,1,1,53,9,9,1,1,MOG_L
54,54,36,10,2,2,54,10,10,2,2,MOG_R
55,55,37,9,1,1,55,9,9,1,1,IOG_L
56,56,38,10,2,2,56,10,10,2,2,IOG_R
57,57,39,9,1,1,57,9,9,1,1,Cu_L
58,58,40,10,2,2,58,10,10,2,2,Cu_R
59,59,41,9,1,1,59,9,9,1,1,LG_L
60,60,42,10,2,2,60,10,10,2,2,LG_R
61,61,43,7,1,1,61,11,7,1,1,rostral_ACC_L
62,62,44,8,2,2,62,12,8,2,2,rostral_ACC_R
63,63,43,7,1,1,63,11,7,1,1,subcallosal_ACC_L
64,64,44,8,2,2,64,12,8,2,2,subcallosal_ACC_R
65,65,43,7,1,1,65,11,7,1,1,subgenual_ACC_L
66,66,44,8,2,2,66,12,8,2,2,subgenual_ACC_R
67,67,43,7,1,1,67,11,7,1,1,dorsal_ACC_L
68,68,44,8,2,2,68,12,8,2,2,dorsal_ACC_R
69,69,43,7,1,1,69,11,7,1,1,PCC_L
70,70,44,8,2,2,70,12,8,2,2,PCC_R
71,71,45,11,1,1,71,13,11,1,1,Insula_L
72,72,46,12,2,2,72,14,12,2,2,Insula_R
73,73,47,13,3,1,73,15,13,3,1,Amyg_L
74,74,48,14,4,2,74,16,14,4,2,Amyg_R
75,75,49,7,1,1,75,7,7,1,1,Hippo_L
76,76,50,8,2,2,76,8,8,2,2,Hippo_R
77,77,51,15,3,1,77,17,15,3,1,Caud_L
78,78,52,16,4,2,78,18,16,4,2,Caud_R
79,79,53,15,3,1,79,17,15,3,1,Put_L
80,80,54,16,4,2,80,18,16,4,2,Put_R
81,81,55,15,3,1,81,19,15,3,1,GP_L
82,82,56,16,4,2,82,20,16,4,2,GP_R
83,83,57,17,5,3,83,21,17,5,1,Thalamus_L
84,84,58,18,6,4,84,22,18,6,2,Thalamus_R
85,85,59,19,7,3,85,23,19,7,1,HypoThalamus_L
86,86,60,20,8,4,86,24,20,8,2,HypoThalamus_R
87,87,59,19,7,3,87,23,19,7,1,AnteriorBasalForebrain_L
88,88,60,20,8,4,88,24,20,8,2,AnteriorBasalForebrain_R
89,89,61,15,3,1,89,17,15,3,1,NucAccumbens_L
90,90,62,16,4,2,90,18,16,4,2,NucAccumbens_R
91,91,63,21,9,5,91,25,21,9,3,RedNc_L
92,92,64,22,10,5,92,26,22,9,3,RedNc_R
93,93,63,21,9,5,93,25,21,9,3,Snigra_L
94,94,64,22,10,5,94,26,22,9,3,Snigra_R
95,95,65,23,11,6,95,27,23,10,4,CerebellumGM_R
96,96,66,24,12,6,96,28,24,11,4,CerebellumGM_L
97,97,63,21,9,5,97,25,21,9,3,CP_L
98,98,64,22,10,5,98,26,22,9,3,CP_R
99,99,63,21,9,5,99,25,21,9,3,Midbrain_L
100,100,64,22,10,5,100,26,22,9,3,Midbrain_R
101,101,67,25,12,6,101,29,25,12,3,CST_L
102,102,68,26,11,6,102,30,26,13,3,CST_R
103,103,67,25,12,6,103,29,25,12,3,SCP_L
104,104,68,26,11,6,104,30,26,13,3,SCP_R
105,105,67,25,12,6,105,29,25,12,3,MCP_L
106,106,68,26,11,6,106,30,26,13,3,MCP_R
107,107,67,25,12,6,107,29,25,12,3,PCT_L
108,108,68,26,11,6,108,30,26,13,3,PCT_R
109,109,69,27,13,7,109,31,27,12,3,ICP_L
110,110,70,28,14,7,110,32,28,13,3,ICP_R
111,111,67,25,12,6,111,29,25,12,3,ML_L
112,112,68,26,11,6,112,30,26,13,3,ML_R
113,113,67,25,12,6,113,29,25,12,3,Pons_L
114,114,68,26,11,6,114,30,26,13,3,Pons_R
115,115,69,27,13,7,109,31,27,12,3,Medulla_L
116,116,70,28,14,7,110,32,28,13,3,Medulla_R
117,117,71,29,15,1,115,33,29,14,1,ACR_L
118,118,72,30,16,2,116,34,30,15,2,ACR_R
119,119,71,29,15,1,117,33,29,14,1,SCR_L
120,120,72,30,16,2,118,34,30,15,2,SCR_R
121,121,73,31,15,1,119,35,31,14,1,PCR_L
122,122,74,32,16,2,120,36,32,15,2,PCR_R
123,123,75,33,15,1,121,37,33,14,1,GCC_L
124,124,76,34,16,2,122,38,34,15,2,GCC_R
125,125,77,33,15,1,123,37,33,14,1,BCC_L
126,126,78,34,16,2,124,38,34,15,2,BCC_R
127,127,79,33,15,1,125,37,33,14,1,SCC_L
128,128,80,34,16,2,126,38,34,15,2,SCC_R
129,129,81,35,15,1,127,39,35,14,1,PVWl_L
130,130,82,36,16,2,128,40,36,15,2,PVWl_R
131,131,83,35,15,1,129,41,35,14,1,ALIC_L
132,132,84,36,16,2,130,42,36,15,2,ALIC_R
133,133,85,35,15,1,131,41,35,14,1,PLIC_L
134,134,86,36,16,2,132,42,36,15,2,PLIC_R
135,135,87,35,15,1,133,39,35,14,1,RLIC_L
136,136,88,36,16,2,134,40,36,15,2,RLIC_R
137,137,87,35,15,1,135,39,35,14,1,EC_L
138,138,88,36,16,2,136,40,36,15,2,EC_R
139,139,89,37,15,1,137,43,37,14,1,CGC_L
140,140,90,38,16,2,138,44,38,15,2,CGC_R
141,141,91,37,15,1,139,43,37,14,1,CGH_L
142,142,92,38,16,2,140,44,38,15,2,CGH_R
143,143,93,37,15,1,141,43,37,14,1,Fx/ST_L
144,144,94,38,16,2,142,44,38,15,2,Fx/ST_R
145,145,95,37,15,1,143,43,37,14,1,Fx_L
146,146,96,38,16,2,144,44,38,15,2,Fx_R
147,147,87,35,15,1,145,39,35,14,1,IFO_L
148,148,88,36,16,2,146,40,36,15,2,IFO_R
149,149,87,35,15,1,147,39,35,14,1,PTR_L
150,150,88,36,16,2,148,40,36,15,2,PTR_R
151,151,87,35,15,1,149,39,35,14,1,SS_L
152,152,88,36,16,2,150,40,36,15,2,SS_R
153,153,71,29,15,1,151,33,29,14,1,SFO_L
154,154,72,30,16,2,152,34,30,15,2,SFO_R
155,155,97,31,15,1,153,3,3,1,1,SLF_L
156,156,98,32,16,2,154,4,4,2,2,SLF_R
157,157,59,19,7,3,155,23,19,7,1,Cl_L
158,158,60,20,8,4,156,24,20,8,2,Cl_R
159,159,59,19,7,3,87,23,19,7,1,PosteriorBasalForebrain_L
160,160,60,20,8,4,88,24,20,8,2,PosteriorBasalForebrain_R
161,161,60,20,8,4,157,24,20,8,2,Mammillary_R
162,162,59,19,7,3,158,23,19,7,1,Mammillary_L
163,163,99,39,17,8,159,45,39,16,5,LV_Frontal_L
164,164,99,39,17,8,160,45,39,16,5,LV_body_L
165,165,100,39,17,8,161,46,39,16,5,LV_atrium_L
166,166,100,39,17,8,162,46,39,16,5,LV_Occipital_L
167,167,101,39,17,8,163,47,39,16,5,LV_Inferior_L
168,168,102,40,17,8,164,48,40,16,5,LV_Frontal_R
169,169,102,40,17,8,165,48,40,16,5,LV_body_R
170,170,103,40,17,8,166,49,40,16,5,LV_atrium_R
171,171,103,40,17,8,167,49,40,16,5,LV_Occipital_R
172,172,104,40,17,8,168,50,40,16,5,LV_Inferior_R
173,173,105,41,17,8,169,51,41,16,5,III_ventricle
174,174,106,29,15,1,170,33,29,14,1,PVWa_L
175,175,107,30,16,2,171,34,30,15,2,PVWa_R
176,176,108,31,15,1,172,35,31,14,1,PVWp_L
177,177,109,32,16,2,173,36,32,15,2,PVWp_R
178,178,110,29,15,1,1,1,1,1,1,SFWM_L
179,179,111,30,16,2,2,2,2,2,2,SFWM_R
180,180,110,29,15,1,3,1,1,1,1,SFWM_PFC_L
181,181,111,30,16,2,4,2,2,2,2,SFWM_PFC_R
182,182,110,29,15,1,5,1,1,1,1,SFWM_pole_L
183,183,111,30,16,2,6,2,2,2,2,SFWM_pole_R
184,184,110,29,15,1,7,1,1,1,1,MFWM_L
185,185,111,30,16,2,8,2,2,2,2,MFWM_R
186,186,110,29,15,1,9,1,1,1,1,MFWM_DPFC_L
187,187,111,30,16,2,10,2,2,2,2,MFWM_DPFC_R
188,188,110,29,15,1,11,1,1,1,1,IFWM_opercularis_L
189,189,111,30,16,2,12,2,2,2,2,IFWM_opercularis_R
190,190,110,29,15,1,13,1,1,1,1,IFWM_orbitalis_L
191,191,111,30,16,2,14,2,2,2,2,IFWM_orbitalis_R
192,192,110,29,15,1,15,1,1,1,1,IFWM_triangularis_L
193,193,111,30,16,2,16,2,2,2,2,IFWM_triangularis_R
194,194,110,29,15,1,17,1,1,1,1,LFOWM_L
195,195,111,30,16,2,18,2,2,2,2,LFOWM_R
196,196,110,29,15,1,19,1,1,1,1,MFOWM_L
197,197,111,30,16,2,20,2,2,2,2,MFOWM_R
198,198,110,29,15,1,21,1,1,1,1,RGWM_L
199,199,111,30,16,2,22,2,2,2,2,RGWM_R
200,200,97,31,15,1,23,3,3,1,1,PoCWM_L
201,201,98,32,16,2,24,4,4,2,2,PoCWM_R
202,202,110,29,15,1,25,1,1,1,1,PrCWM_L
203,203,111,30,16,2,26,2,2,2,2,PrCWM_R
204,204,97,31,15,1,27,3,3,1,1,SPWM_L
205,205,98,32,16,2,28,4,4,2,2,SPWM_R
206,206,97,31,15,1,29,3,3,1,1,SMWM_L
207,207,98,32,16,2,30,4,4,2,2,SMWM_R
208,208,97,31,15,1,31,3,3,1,1,AGWM_L
209,209,98,32,16,2,32,4,4,2,2,AGWM_R
210,210,97,31,15,1,33,3,3,1,1,PrCuWM_L
211,211,98,32,16,2,34,4,4,2,2,PrCuWM_R
212,212,112,35,15,1,35,5,5,1,1,STWM_L
213,213,113,36,16,2,36,6,6,2,2,STWM_R
214,214,112,35,15,1,37,5,5,1,1,STWM_pole_L
215,215,113,36,16,2,38,6,6,2,2,STWM_pole_R
216,216,112,35,15,1,39,5,5,1,1,MTWM_L
217,217,113,36,16,2,40,6,6,2,2,MTWM_R
218,218,112,35,15,1,41,5,5,1,1,MTWM_pole_L
219,219,113,36,16,2,42,6,6,2,2,MTWM_pole_R
220,220,112,35,15,1,43,5,5,1,1,ITWM_L
221,221,113,36,16,2,44,6,6,2,2,ITWM_R
222,222,112,35,15,1,49,5,5,1,1,FuWM_L
223,223,113,36,16,2,50,6,6,2,2,FuWM_R
224,224,114,31,15,1,51,9,9,1,1,SOWM_L
225,225,115,32,16,2,52,10,10,2,2,SOWM_R
226,226,114,31,15,1,53,9,9,1,1,MOWM_L
227,227,115,32,16,2,54,10,10,2,2,MOWM_R
228,228,114,31,15,1,55,9,9,1,1,IOWM_L
229,229,115,32,16,2,56,10,10,2,2,IOWM_R
230,230,114,31,15,1,57,9,9,1,1,CuWM_L
231,231,115,32,16,2,58,10,10,2,2,CuWM_R
232,232,114,31,15,1,59,9,9,1,1,LGWM_L
233,233,115,32,16,2,60,10,10,2,2,LGWM_R
234,234,116,37,15,1,61,11,7,1,1,rostralWM_ACC_L
235,235,117,38,16,2,62,12,8,2,2,rostralWM_ACC_R
236,236,116,37,15,1,63,11,7,1,1,subcallosalWM_ACC_L
237,237,117,38,16,2,64,12,8,2,2,subcallosalWM_ACC_R
238,238,116,37,15,1,65,11,7,1,1,subgenualWM_ACC_L
239,239,117,38,16,2,66,12,8,2,2,subgenualWM_ACC_R
240,240,116,37,15,1,67,11,7,1,1,dorsalWM_ACC_L
241,241,117,38,16,2,68,12,8,2,2,dorsalWM_ACC_R
242,242,116,37,15,1,69,11,7,1,1,PCCWM_L
243,243,117,38,16,2,70,12,8,2,2,PCCWM_R
244,244,118,23,11,6,174,52,23,10,4,CerebellumWM_R
245,245,119,24,12,6,175,53,24,11,4,CerebellumWM_L
246,246,119,24,12,6,175,53,24,11,4,MCP_cb_L
247,247,118,23,11,6,174,52,23,10,4,MCP_cb_R
248,248,119,24,12,6,175,53,24,11,4,ICP_cb_L
249,249,118,23,11,6,174,52,23,10,4,ICP_cb_R
250,250,120,42,18,8,176,54,42,17,5,FrontSul_L
251,251,121,43,19,8,177,55,43,18,5,FrontSul_R
252,252,122,44,18,8,178,56,44,17,5,CentralSul_L
253,253,123,45,19,8,179,57,45,18,5,CentralSul_R
254,254,124,46,18,8,180,58,42,17,5,SylFrontSul_L
255,255,125,47,19,8,181,59,43,18,5,SylFrontSul_R
256,256,126,46,18,8,182,60,46,17,5,SylTempSul_L
257,257,127,47,19,8,183,61,47,18,5,SylTempSul_R
258,258,128,46,18,8,184,62,48,17,5,SylParieSul_L
259,259,129,47,19,8,185,63,49,18,5,SylParieSul_R
260,260,130,48,18,8,186,64,48,17,5,ParietSul_L
261,261,131,49,19,8,187,65,49,18,5,ParietSul_R
262,262,132,50,18,8,188,66,50,17,5,CinguSul_L
263,263,133,51,19,8,189,67,51,18,5,CinguSul_R
264,264,134,52,18,8,190,68,52,17,5,OcciptSul_L
265,265,135,53,19,8,191,69,53,18,5,OcciptSul_R
266,266,136,54,18,8,192,70,46,17,5,TempSul_L
267,267,137,55,19,8,193,71,47,18,5,TempSul_R
268,268,138,15,3,1,194,17,15,3,1,Caudate_tail_L
269,269,49,7,1,1,75,7,7,1,1,Fimbria_L
270,270,139,16,4,2,195,18,16,4,2,Caudate_tail_R
271,271,50,8,2,2,76,8,8,2,2,Fimbria_R
272,272,99,39,17,8,196,45,39,16,5,Chroid_LVetc_L
273,273,102,40,17,8,197,48,40,16,5,Chroid_LVetc_R
274,274,140,56,17,8,198,72,54,16,5,IV_ventricle
275,275,87,35,15,1,135,39,35,14,1,ECCL_L
276,276,88,36,16,2,136,40,36,15,2,ECCL_R
277,277,141,57,20,8,199,73,55,19,5,ECSAnterior_L
278,278,142,57,20,8,200,74,55,19,5,ECSAnterior_R
279,279,143,58,20,8,201,75,56,19,5,ECSPosterior_L
280,280,144,58,20,8,202,76,56,19,5,ECSPosterior_R
