ROI#,Label,Region
1,SFG_L,SUPERIOR FRONTAL GYRUS left
2,SFG_R,SUPERIOR FRONTAL GYRUS right
3,SFG_PFC_L,Superior frontal gyrus (prefrontal cortex) left
4,SFG_PFC_R,Superior frontal gyrus (prefrontal cortex) right
5,SFG_pole_L,superior frontal gyrus (frontal pole) left
6,SFG_pole_R,superior frontal gyrus (frontal pole) right
7,MFG_L,MIDDLE FRONTAL GYRUS left
8,MFG_R,MIDDLE FRONTAL GYRUS right
9,MFG_DPFC_L,Middle frontal gyrus (dorsal prefrontal cortex) left
10,MFG_DPFC_R,Middle frontal gyrus (dorsal prefrontal cortex) right
11,IFG_opercularis_L,inferior frontal gyrus pars opercularis left
12,IFG_opercularis_R,inferior frontal gyrus pars opercularis right
13,IFG_orbitalis_L,inferior frontal gyrus pars orbitralis left
14,IFG_orbitalis_R,inferior frontal gyrus pars orbitralis right
15,IFG_triangularis_L,inferior frontal gyrus pars triangularis left
16,IFG_triangularis_R,inferior frontal gyrus pars triangularis right
17,LFOG_L,LATERAL FRONTO-ORBITAL GYRUS left
18,LFOG_R,LATERAL FRONTO-ORBITAL GYRUS right
19,MFOG_L,MIDDLE FRONTO-ORBITAL GYRUS
20,MFOG_R,MIDDLE FRONTO-ORBITAL GYRUS right
21,RG_L,GYRUS RECTUS
22,RG_R,GYRUS RECTUS right
23,PoCG_L,POSTCENTRAL GYRUS left
24,PoCG_R,POSTCENTRAL GYRUS right
25,PrCG_L,PRECENTRAL GYRUS left
26,PrCG_R,PRECENTRAL GYRUS right
27,SPG_L,SUPERIOR PARIETAL GYRUS left
28,SPG_R,SUPERIOR PARIETAL GYRUS right
29,SMG_L,SUPRAMARGINAL GYRUS
30,SMG_R,SUPRAMARGINAL GYRUS right
31,AG_L,ANGULAR GYRUS left
32,AG_R,ANGULAR GYRUS right
33,PrCu_L,PRE-CUNEUS left
34,PrCu_R,PRE-CUNEUS right
35,STG_L,SUPERIOR TEMPORAL GYRUS left
36,STG_R,SUPERIOR TEMPORAL GYRUS right
37,STG_pole_L,Pole of the SUPERIOR TEMPORAL GYRUS left
38,STG_pole_R,Pole of the SUPERIOR TEMPORAL GYRUS right
39,MTG_L,MIDDLE TEMPORAL GYRUS left
40,MTG_R,MIDDLE TEMPORAL GYRUS right
41,MTG_pole_L,Pole of the MIDDLE TEMPORAL GYRUS left
42,MTG_pole_R,Pole of the MIDDLE TEMPORAL GYRUS right
43,ITG_L,INFERIOR TEMPORAL GYRUS left
44,ITG_R,INFERIOR TEMPORAL GYRUS right
45,PHG_L,PARAHIPPOCAMPAL GYRUS left
46,PHG_R,PARAHIPPOCAMPAL GYRUS right
47,ENT_L,ENTORHINAL AREA left
48,ENT_R,ENTORHINAL AREA right
49,FuG_L,FUSIFORM GYRUS left
50,FuG_R,FUSIFORM GYRUS right
51,SOG_L,SUPERIOR OCCIPITAL GYRUS left
52,SOG_R,SUPERIOR OCCIPITAL GYRUS right
53,MOG_L,MIDDLE OCCIPITAL GYRUS left
54,MOG_R,MIDDLE OCCIPITAL GYRUS right
55,IOG_L,INFERIOR OCCIPITAL GYRUS left
56,IOG_R,INFERIOR OCCIPITAL GYRUS right
57,Cu_L,CUNEUS left
58,Cu_R,CUNEUS right
59,LG_L,LINGUAL GYRUS left
60,LG_R,LINGUAL GYRUS right
61,rostral_ACC_L,rostral anterior cingulate gyrus left
62,rostral_ACC_R,rostral anterior cingulate gyrus right
63,subcallosal_ACC_L,subcallosal anterior cingulate gyrus left
64,subcallosal_ACC_R,subcallosal anterior cingulate gyrus right
65,subgenual_ACC_L,subgenual anterior cingulate gyrus left
66,subgenual_ACC_R,subgenual anterior cingulate gyrus right
67,dorsal_ACC_L,dorsal anterior cingulate gyrus left
68,dorsal_ACC_R,dorsal anterior cingulate gyrus right
69,PCC_L,posterior cingulate gyrus left
70,PCC_R,posterior cingulate gyrus right
71,Insula_L,INSULAR
72,Insula_R,INSULAR right
73,Amyg_L,AMYGDALA
74,Amyg_R,AMYGDALA right
75,Hippo_L,HIPPOCAMPUS
76,Hippo_R,HIPPOCAMPUS right
77,Caud_L,CAUDATE NUCLEUS left
78,Caud_R,CAUDATE NUCLEUS right
79,Put_L,PUTAMEN left
80,Put_R,PUTAMEN right
81,GP_L,GLOBUS PALLIDUS left
82,GP_R,GLOBUS PALLIDUS right
83,Thalamus_L,THALAMUS left
84,Thalamus_R,THALAMUS right
85,HypoThalamus_L,Hypothalamus left
86,HypoThalamus_R,Hypothalamus right
87,AnteriorBasalForebrain_L,AnteriorBasalForebrain_L
88,AnteriorBasalForebrain_R,AnteriorBasalForebrain_R
89,NucAccumbens_L,Nucleus accumbens left
90,NucAccumbens_R,Nucleus accumbens right
91,RedNc_L,Red Nucleus left
92,RedNc_R,Red Nucleus right
93,Snigra_L,Substancia Nigra left
94,Snigra_R,Substancia Nigra right
95,CerebellumGM_R,CEREBELLUM right
96,CerebellumGM_L,CEREBELLUM
97,CP_L,Cerebral peduncle left
98,CP_R,Cerebral peduncle right
99,Midbrain_L,MIDBRAIN left
100,Midbrain_R,MIDBRAIN right
101,CST_L,Corticospinal tract left
102,CST_R,Corticospinal tract right
103,SCP_L,Superior cerebellar peduncle left
104,SCP_R,Superior cerebellar peduncle right
105,MCP_L,Middle cerebellar peduncle left
106,MCP_R,Middle cerebellar peduncle right
107,PCT_L,Pontine crossing tract (a part of MCP) left
108,PCT_R,Pontine crossing tract (a part of MCP) right
109,ICP_L,Inferior cerebellar peduncle left
110,ICP_R,Inferior cerebellar peduncle right
111,ML_L,Medial lemniscus left
112,ML_R,Medial lemniscus right
113,Pons_L,PONS left
114,Pons_R,PONS right
115,Medulla_L,MEDULLA left
116,Medulla_R,MEDULLA right
117,ACR_L,Anterior corona radiata left
118,ACR_R,Anterior corona radiata right
119,SCR_L,Superior corona radiata left
120,SCR_R,Superior corona radiata right
121,PCR_L,Posterior corona radiata left
122,PCR_R,Posterior corona radiata right
123,GCC_L,Genu of corpus callosum left
124,GCC_R,Genu of corpus callosum right
125,BCC_L,Body of corpus callosum left
126,BCC_R,Body of corpus callosum right
127,SCC_L,Splenium of corpus callosum left
128,SCC_R,Splenium of corpus callosum right
129,PVWl_L,Tapatum left
130,PVWl_R,Tapatum right
131,ALIC_L,Anterior limb of internal capsule left
132,ALIC_R,Anterior limb of internal capsule right
133,PLIC_L,Posterior limb of internal capsule left
134,PLIC_R,Posterior limb of internal capsule right
135,RLIC_L,Retrolenticular part of internal capsule left
136,RLIC_R,Retrolenticular part of internal capsule right
137,EC_L,External capsule left
138,EC_R,External capsule right
139,CGC_L,Cingulum (cingulate gyrus) left
140,CGC_R,Cingulum (cingulate gyrus) right
141,CGH_L,Cingulum (hippocampus) left
142,CGH_R,Cingulum (hippocampus) right
143,Fx/ST_L,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left
144,Fx/ST_R,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right
145,Fx_L,Fornix (column and body of fornix) left
146,Fx_R,Fornix (column and body of fornix) right
147,IFO_L,Inferior fronto-occipital fasciculus left
148,IFO_R,Inferior fronto-occipital fasciculus right
149,PTR_L,Posterior thalamic radiation (include optic radiation) left
150,PTR_R,Posterior thalamic radiation (include optic radiation) right
151,SS_L,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left
152,SS_R,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right
153,SFO_L,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left
154,SFO_R,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right
155,SLF_L,Superior longitudinal fasciculus left
156,SLF_R,Superior longitudinal fasciculus right
157,Cl_L,Uncinate fasciculus left
158,Cl_R,Uncinate fasciculus right
159,PosteriorBasalForebrain_L,PosteriorBasalForebrain_L
160,PosteriorBasalForebrain_R,PosteriorBasalForebrain_R
161,Mammillary_R,Mammillary body left
162,Mammillary_L,Mammillary body right
163,LV_Frontal_L,Lateral ventricle_frontal left
164,LV_body_L,Lateral ventricle_body_L
165,LV_atrium_L,Lateral ventricle_atrium_L
166,LV_Occipital_L,Lateral ventricle_Occipital_L
167,LV_Inferior_L,Lateral ventricle_Inferior_L
168,LV_Frontal_R,Lateral ventricle_Frontal_R
169,LV_body_R,Lateral ventricle_body_R
170,LV_atrium_R,Lateral ventricle_atrium_R
171,LV_Occipital_R,Lateral ventricle_Occipital_R
172,LV_Inferior_R,Lateral ventricle_Inferior_R
173,III_ventricle,III and IV ventricle
174,PVWa_L,Anterior periventricular white matter cap left
175,PVWa_R,Anterior periventricular white matter cap right
176,PVWp_L,Posterior periventricular white matter cap left
177,PVWp_R,Posterior periventricular white matter cap right
178,SFWM_L,SUPERIOR FRONTAL GYRUS white matter left
179,SFWM_R,SUPERIOR FRONTAL GYRUS white matter right
180,SFWM_PFC_L,Superior frontal gyrus (prefrontal cortex) white matter left
181,SFWM_PFC_R,Superior frontal gyrus (prefrontal cortex) white matter right
182,SFWM_pole_L,superior frontal gyrus (frontal pole) white matter left
183,SFWM_pole_R,superior frontal gyrus (frontal pole) white matter right
184,MFWM_L,MIDDLE FRONTAL GYRUS  white matterleft
185,MFWM_R,MIDDLE FRONTAL GYRUS  white matterright
186,MFWM_DPFC_L,Middle frontal gyrus (dorsal prefrontal cortex) white matter left
187,MFWM_DPFC_R,Middle frontal gyrus (dorsal prefrontal cortex)  white matterright
188,IFWM_opercularis_L,inferior frontal gyrus pars opercularis white matter left
189,IFWM_opercularis_R,inferior frontal gyrus pars opercularis white matter right
190,IFWM_orbitalis_L,inferior frontal gyrus pars orbitralis white matter left
191,IFWM_orbitalis_R,inferior frontal gyrus pars orbitralis white matter right
192,IFWM_triangularis_L,inferior frontal gyrus pars triangularis white matter left
193,IFWM_triangularis_R,inferior frontal gyrus pars triangularis white matter right
194,LFOWM_L,LATERAL FRONTO-ORBITAL GYRUS white matter left
195,LFOWM_R,LATERAL FRONTO-ORBITAL GYRUS white matter right
196,MFOWM_L,MIDDLE FRONTO-ORBITAL GYRUS white matter left
197,MFOWM_R,MIDDLE FRONTO-ORBITAL GYRUS white matter right
198,RGWM_L,GYRUS RECTUS white matter left
199,RGWM_R,GYRUS RECTUS white matter right
200,PoCWM_L,POSTCENTRAL GYRUS white matter left
201,PoCWM_R,POSTCENTRAL GYRUS white matter right
202,PrCWM_L,PRECENTRAL GYRUS white matter left
203,PrCWM_R,PRECENTRAL GYRUS white matter right
204,SPWM_L,SUPERIOR PARIETAL GYRUS white matter left
205,SPWM_R,SUPERIOR PARIETAL GYRUS white matter right
206,SMWM_L,SUPRAMARGINAL GYRUS white matter left
207,SMWM_R,SUPRAMARGINAL GYRUS white matter right
208,AGWM_L,ANGULAR GYRUS white matter left
209,AGWM_R,ANGULAR GYRUS white matter right
210,PrCuWM_L,PRE-CUNEUS white matter left
211,PrCuWM_R,PRE-CUNEUS white matter right
212,STWM_L,SUPERIOR TEMPORAL GYRUS white matter left
213,STWM_R,SUPERIOR TEMPORAL GYRUS white matter right
214,STWM_pole_L,Pole of the SUPERIOR TEMPORAL GYRUS white matter left
215,STWM_pole_R,Pole of the SUPERIOR TEMPORAL GYRUS white matter right
216,MTWM_L,MIDDLE TEMPORAL GYRUS white matter left
217,MTWM_R,MIDDLE TEMPORAL GYRUS white matter right
218,MTWM_pole_L,Pole of the MIDDLE TEMPORAL GYRUS white matter left
219,MTWM_pole_R,Pole of the MIDDLE TEMPORAL GYRUS white matter right
220,ITWM_L,INFERIOR TEMPORAL GYRUS white matter left
221,ITWM_R,INFERIOR TEMPORAL GYRUS white matter right
222,FuWM_L,FUSIFORM GYRUS white matter left
223,FuWM_R,FUSIFORM GYRUS white matter right
224,SOWM_L,SUPERIOR OCCIPITAL GYRUS white matter left
225,SOWM_R,SUPERIOR OCCIPITAL GYRUS white matter right
226,MOWM_L,MIDDLE OCCIPITAL GYRUS white matter left
227,MOWM_R,MIDDLE OCCIPITAL GYRUS white matter right
228,IOWM_L,INFERIOR OCCIPITAL GYRUS white matter left
229,IOWM_R,INFERIOR OCCIPITAL GYRUS white matter right
230,CuWM_L,CUNEUS white matter left
231,CuWM_R,CUNEUS white matter right
232,LGWM_L,LINGUAL GYRUS white matter left
233,LGWM_R,LINGUAL GYRUS white matter right
234,rostralWM_ACC_L,rostral anterior cingulate gyrus white matter left
235,rostralWM_ACC_R,rostral anterior cingulate gyrus white matter right
236,subcallosalWM_ACC_L,subcallosal anterior cingulate gyrus white matter left
237,subcallosalWM_ACC_R,subcallosal anterior cingulate gyrus white matter right
238,subgenualWM_ACC_L,subgenual anterior cingulate gyrus white matter left
239,subgenualWM_ACC_R,subgenual anterior cingulate gyrus white matter right
240,dorsalWM_ACC_L,dorsal anterior cingulate gyrus white matter left
241,dorsalWM_ACC_R,dorsal anterior cingulate gyrus white matter right
242,PCCWM_L,posterior cingulate gyrus white matter left
243,PCCWM_R,posterior cingulate gyrus white matter right
244,CerebellumWM_R,Cerebellum white matter left
245,CerebellumWM_L,Cerebellum white matter right
246,MCP_cb_L,Middle cerebellar peduncle left
247,MCP_cb_R,Middle cerebellar peduncle right
248,ICP_cb_L,Inferior cerebellar peduncle (cerebellum part) left
249,ICP_cb_R,Inferior cerebellar peduncle (cerebellum part) right
250,FrontSul_L,Frontal sulcus left
251,FrontSul_R,Frontal sulcus right
252,CentralSul_L,Central sulcus left
253,CentralSul_R,Central sulcus right
254,SylFrontSul_L,Sylvian Fissure (Frontal rami) left
255,SylFrontSul_R,Sylvian Fissure (Frontal rami)  right
256,SylTempSul_L,Sylvian Fissure (temporal rami) left
257,SylTempSul_R,Sylvian Fissure (temporal rami) right
258,SylParieSul_L,Sylvian Fissure (parietal rami) left
259,SylParieSul_R,Sylvian Fissure (parietal rami) right
260,ParietSul_L,Parietal sulcus left
261,ParietSul_R,Parietal sulcus right
262,CinguSul_L,Cingulate sulcus left
263,CinguSul_R,Cingulate sulcus right
264,OcciptSul_L,Occipital sulcus left
265,OcciptSul_R,Occipital sulcus right
266,TempSul_L,Temporal sulcus left
267,TempSul_R,Temporal sulcus right
268,Caudate_tail_L,Caudate_tail_L
269,Fimbria_L,Fimbria_L
270,Caudate_tail_R,Caudate_tail_R
271,Fimbria_R,Fimbria_R
272,Chroid_LVetc_L,Choroid plexus LV left
273,Chroid_LVetc_R,Choroid plexus LV right
274,IV_ventricle,IVth ventricle
275,ECCL_L,External capsule and claustrum left
276,ECCL_R,External capsule and claustrum right
277,ECSAnterior_L,Superior subarachnoid space anterior left
278,ECSAnterior_R,Superior subarachnoid space anterior right
279,ECSPosterior_L,Superior subarachnoid space posterior left
280,ECSPosterior_R,Superior subarachnoid space posterior right
